Full Name,Description,Job,Education Place,Native Language,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Method,Death Reason
Ambika Soni,Indian Politician,Politician,Indraprastha College For Women,,India,,,,1942-11-13,,Lahore,,,
Radhika Jha,Indian Novelist,Novelist,Amherst College,,India,,,,1970-01-01,,New Delhi,,,
Shivshakti Sachdev,Indian Actress,Actor,,,India,,,,1993-05-21,,New Delhi,,,
Saroj Khan,Indian Dancer And Choreographer,Choreographer,,,India,,,B. Sohanlal,1948-11-22,2020-07-03,Mumbai,Mumbai,Natural Causes,Cardiac Arrest
Soundarya,Indian Actress,Actor,,Kannada,India,,,,1972-07-18,2004-04-17,Mulbagal,Bengaluru,Accident,Aircraft Crash
Rambha,Indian Actress,Actor,,Telugu,India,,,Indran Padmanathan,1976-06-05,,Peddapuram,,,
Neha Dhupia,Indian Comedian,Model,University Of Delhi,,India,,,,1980-08-27,,New Delhi,,,
Jaya Prada,Indian Actress And Politician,Actor,,Telugu,India,,,Srikanth Nahata,1962-04-03,,Rajamahendravaram,,,
B. Saroja Devi,Indian Actress,Actor,,Kannada,India,,,,1938-01-07,,Bengaluru,,,
Sucheta Kripalani,Chief Minister Of Uttar Pradesh And India'S First Woman Chief Minister,Politician,University Of Delhi,,India,,,J. B. Kripalani,1908-06-25,1974-12-01,Ambala,New Delhi,,
Lakshmi Rai,Indian Actress And Model,Actor,,,India,,,,1989-05-05,,Belgaum,,,
Saritha,Indian Actress,Voice Actor,,,India,,,Mukesh,1959-01-05,,Chennai,,,
Reema Malhotra,Indian Womens Cricketer,Cricketer,,,India,,,,1980-10-17,,New Delhi,,,
Mirabehn,English Activist Of The Indian Independence Movement,Academic,,,India,,,,1892-11-22,1982-07-20,,Vienna,,
Nandana Sen,Indian Actress,Actor,Royal Academy Of Dramatic Art,,India,Amartya Sen,Nabaneeta Dev Sen,John Makinson,1967-08-19,,Kolkata,,,
Harmanpreet Kaur,Indian Cricketer,Cricketer,,,India,,,,1989-03-08,,"Moga, Punjab",,,
Nadhiya,Indian Actress,Actor,,,India,,,,1968-11-02,,Mumbai,,,
Sukumari,Indian Film Actress,Actor,,,India,,,A. Bhimsingh,1940-10-06,2013-03-26,Nagercoil,Chennai,,
Saranya Mohan,Indian Actress,Actor,University Of Kerala,,India,,,,1989-02-09,,Alappuzha,,,
Rakhi Sawant,Indian Actress,Model,Mithibai College,,India,,,,1978-11-25,,Worli,,,
Irawati Karve,"Indian Sociologist, Anthropologist, Educationist, And Writer",Anthropologist,University Of Mumbai,,India,,,,1905-12-15,1970-08-11,Myanmar,,,
Jiah Khan,British Indian Actress (1988-2013),Actor,Lee Strasberg Theatre And Film Institute,,United States Of America,,,,1988-02-20,2013-06-03,New York City,Mumbai,Suicide,Hanging
Vinaya Prasad,Indian Actress,Actor,,,India,,,,1966-06-25,,Udupi,,,
Preeti Jhangiani,Indian Film Actress And Model,Actor,,,India,,,Parvin Dabas,1980-08-18,,Mangalore,,,
Malika Pukhraj,Pakistani Singer,Singer,,,India,,,,1912-01-01,2004-02-04,Jammu,Lahore,,
Krishna Sobti,Indian Writer,Writer,Fateh Chand College For Women,,India,,,,1925-02-18,2019-01-25,Gujrat,New Delhi,,Pneumonia
Kesarbai Kerkar,Indian Singer,Singer,,,India,,,,1892-07-13,1977-09-16,,,,
Mogubai Kurdikar,Indian Singer,Singer,,,India,,,,1904-07-15,2001-02-10,,,,
Kapila Vatsyayan,Indian Politician And Art Historian,Politician,University Of Michigan,,India,,,Sachchidananda Vatsyayan,1928-12-25,2020-09-16,Delhi,,,
Barkha Dutt,Indian Television Journalist And Columnist,News Presenter,University Of Delhi,,India,,,,1971-12-18,,Delhi,,,
Bharathi Vishnuvardhan,Indian Actress,Actor,,,India,,,Vishnuvardhan,1951-01-15,,Karnataka,,,
Bhadda Kundalakesa,Indian Nun,Academic,,,India,,,,-0550-00-00,,,,,
Deepali Joshi-Shah,"Singer, Actress, Voice Actress",Voice Actor,,,India,,,,1976-01-01,2012-01-27,Ajmer,Kuwait,,Traffic Collision
Hard Kaur,British Indian Rapper,Singer,,,United Kingdom,,,,1979-07-29,,Kanpur,,,
Urmila Kanetkar- Kothare,Actress/Kathak Dancer,Actor,,,India,,,Adinath Kothare,1986-05-04,,Pune,,,
Vibhavari Deshpande,Indian Actress,Writer,,,India,,,,1979-02-01,,,,,
Drashti Dhami,Indian Television Actress And Model,Actor,,,India,,,,1985-01-10,,Mumbai,,,
Aastha Chaudhary,Indian Actress,Television Actor,,,India,,,,1988-07-20,,Alwar,,,
Bharati Mukherjee,Indian-American Writer,Writer,University Of Calcutta,,United States Of America,,,Clark Blaise,1940-07-27,2017-01-28,Kolkata,Manhattan,,Cardiomyopathy
Aamani,Indian Actress,Actor,,Telugu,India,,,,1973-11-16,,Andhra Pradesh,,,
Aasiya Kazi,Indian Actress,Television Actor,,,India,,,,1991-12-12,,Mumbai,,,
Aarti Chhabria,Bollywood Actress From India,Actor,,,India,,,,1987-11-21,,Mumbai,,,
Abhinayashree,Actress,Actor,,,India,,Anuradha,,1988-08-01,,Thiruvananthapuram,,,
Abhinaya,Indian Film Actress And Model Mainly In Tamil Films,Actor,,,India,,,,1991-11-13,,Karnataka,,,
Abitha,Indian Film Actress,Actor,,,India,,,,,,,,,
Adah Sharma,Indian Film Actresss,Actor,,,India,,,,1992-05-11,,Mumbai,,,
Akkamma Devi,Indian Politician And Member Of The Indian National Congress,Politician,,,India,,,,1918-00-00,2012-11-23,,,,
Aideu Handique,Indian Actress,Actor,,,India,,,,1915-06-27,2002-12-17,Golaghat,,,
Akshaya,Film Actress,Actor,,,India,,,,,,Chennai,,,
Ambika Sao,Indian Politician,Politician,,,India,,,,,,,,,
Alka Kubal,Indian Actress,Actor,,,India,,,Sameer Athalye,1965-09-23,,Mumbai,,,
Alia Bhatt,Indian Actress,Film Actor,,,United Kingdom,Mahesh Bhatt,Soni Razdan,,1993-03-15,,Mumbai,,,
Amrapali Dubey,Indian Actress,Actor,,,India,,,,1987-01-11,,Gorakhpur,,,
Anchal Sabharwal,Actress,Actor,,,India,,,,1986-08-29,,Delhi,,,
Angela Jonsson,Model,Actor,,,India,,,,1990-02-28,,Chennai,,,
Anju Chaudhuri,Indian Artist,Painter,,,India,,,,1944-00-00,,Kolkata,,,
Ankita Bhambri,Indian Tennis Player,Tennis Player,,,India,,,,1986-10-28,,New Delhi,,,
Annu Tandon,Indian Politician,Politician,,,India,,,,1957-11-15,,Unnao,,,
Anu Vaidyanathan,Indian Triathlete,Triathlete,,,India,,,,1984-01-01,,New Delhi,,,
Anuja Jung,Indian Sport Shooter,Sport Shooter,,,India,,,,1971-08-06,,Thane,,,
Anuja Patil,Indian Woman Cricketer,Cricketer,,,India,,,,1992-06-28,,Kolhapur,,,
Anita Raj,Indian Actress,Actor,,,India,Jagdish Raj,,Sunil Hingorani,1963-02-28,,Mumbai,,,
Ankita Raina,Indian Tennis Player,Tennis Player,,,India,,,,1993-01-11,,Ahmedabad,,,
Annapoorna,Indian Actress,Actor,,,India,,,,1948-01-01,,Vijayawada,,,
Aparajita Mohanty,Indian Actor,Actor,,Odia,India,,,Uttam Mohanty,1965-05-15,,Sambalpur,,,
Aparna Sindhoor,Indian Dancer,Choreographer,Boston University,,India,,,,,,India,,,
Aparna Nair,Indian Actress,Actor,,,India,,,,1989-11-30,,Kerala,,,
Anuradha Mehta,Indian Actress,Actor,,,India,,,,1981-04-08,,Narasaraopet,,,
Anupama Verma,Indian Model,Actor,University Of Delhi,,India,,,,1981-07-02,,,,,
Aparajita Adhya,Bengali Actress,Actor,,,India,,,,1970-02-02,,Kolkata,,,
Arati Prabhakar,American Engineer,Engineer,California Institute Of Technology,,United States Of America,,,,1959-02-02,,New Delhi,,,
Diana Penty,Model And Actress,Actor,"St. Xavier'S College, Mumbai",,India,,,,1985-11-02,,Mumbai,,,
Aruna Mucherla,Indian Actress,Actor,,Telugu,India,,,,1965-09-13,,Telangana,,,
Arundhati Virmani,Indian Historian,Author,University Of Paris,,India,,,,1957-01-01,,,,,
Arundathi Nag,"Indian Actress, Theatre Personality",Film Director,,,India,,,Shankar Nag,1956-07-06,,Delhi,,,
Ashwini Bhide-Deshpande,Indian Singer,Singer,,,India,,,,1960-10-07,,,,,
Attia Hosain,Indian Writer Who Moved To The Uk In The 1940S,Writer,University Of Lucknow,,India,,,,1913-01-01,1998-01-25,Lucknow,,,
B. Sandhya,Indian Police Chief,Author,Birla Institute Of Technology And Science,,India,,,,1963-09-27,,Kottayam,,,
B. Valarmathi,Indian Politician,Politician,,,India,,,,1957-10-20,,Madurai,,,
Bapsybanoo Pavry,Indian-Born British Socialite,Socialite,Columbia University,,India,,,,1902-00-00,1995-09-06,,,,Disease
Barbara Ramusack,American Historian,Author,University Of Michigan,,India,,,,1937-11-05,,,,,
Barnita Bagchi,Indian Academic,Author,St Hilda'S College,,India,,,,1973-06-12,,,,,
Bangalore Nagarathnamma,Indian Singer,Singer,,,India,,,,1878-11-03,1952-05-19,Nanjangud,,,
Bharathi Baskar,Tamil Orator,,,,India,,,,,,,,,
Bhanwari Devi,Indian Activist,Academic,,,India,,,,,,,,,
Bhargavi,Indian Actress,Actor,,,India,,,,1983-00-00,2008-12-16,,,,
Bhavna Khatri,Indian Actress,Actor,,,India,,,,1987-03-24,,India,,,
Biba Singh,Indian American Singer,Singer,,,India,,,,,,,,,
Bimal Kaur Khalsa,Indian Politician,Nurse,,,India,,,,,1990-01-01,,,Accident,Electrocution
Bornali Kalita,Indian Playback Singer,Singer,,,India,,,,1978-08-31,,Namrup,,,
Dolly Minhas,Indian Actress & Model,Model,,,India,,,,1968-02-08,,Chandigarh,,,
Brinda Somaya,Architect,Architect,Sir Jamsetjee Jeejebhoy School Of Art,,India,,,,1949-06-28,,,,,
Bratati Bandyopadhyay,Bengali Elocutionist,Spoken Word Artist,University Of Calcutta,Bengali,India,,,,,,,,,
Bindiya Goswami,Indian Actress,Actor,,,India,,,J. P. Dutta,1962-01-06,,Mumbai,,,
Bina Agarwal,Indian Feminist Economist,Economist,University Of Cambridge,,India,,,,1951-01-01,,India,,,
Smita Talwalkar,"Indian Film Producer, Actress And Director",Film Producer,,,India,,,,1954-09-05,2014-08-06,,Mumbai,Natural Causes,Ovarian Cancer
Puja Banerjee,Indian Television Actress,Model,Scottish Church College,,India,,,,1987-02-06,,Kolkata,,,
Chanchal Bharti,Singer,Singer,,,India,,,,,,,,,
Chandni,Bollywood Actress,Actor,,,India,,,,,,,,,
Chandrayee Ghosh,Indian Actress,Actor,,,India,,,,1970-01-01,,Kolkata,,,
Chandresh Kumari,Indian Politician,Politician,Jai Narain Vyas University,,India,Hanwant Singh,Krishna Kumari,,1944-02-01,,Jodhpur,,,
Charul Malik,Indian Journalist,Journalist,,,India,,,,1978-01-01,,,,,
Chitra K. Soman,Athletics Competitor,Athletics Competitor,,,India,,,,1983-07-10,,,,,
Sathyavani Muthu,Indian Politician And An Influential Dalit Leader,Politician,,,India,,,,1923-02-15,1999-11-11,,,,
Daisy Hasan,Author,Academic,,,India,,,,,,,,,
Chityala Ailamma,Indian Revolutionary Leader,Politician,,,India,,,,1919-01-01,1985-01-01,Palakurthi,Palakurthi,,
Damayanti Joshi,Indian Dancer,Dancer,,,India,,,,1928-09-05,2004-09-19,Mumbai,Mumbai,,
Deblina Chatterjee,Indian Actress,Actor,,,India,,,,1993-05-21,,Mumbai,,,
Deepa Marathe,Cricketer,Cricketer,,,India,,,,1972-11-25,,Wai,,,
Deepika Chikhalia,Indian Actress And Politician,Politician,,,India,,,,1965-04-29,,Mumbai,,,
Deepali Kishore,Indian Singer,Singer,,,India,,,,1989-01-06,,Patna,,,
Deepti Omchery Bhalla,Indian Dancer,Choreographer,,,India,Omchery N. N. Pillai,,,,,,,,
Devika Bhagat,Indian Screenwriter,Author,New York University Tisch School Of The Arts,,India,,,,1979-10-25,,,,,
Devika Chawla,Indian Musician,Singer,Georgetown University,,India,,,,,,,,,
Devika,Indian Actress,Actor,,,India,,,,1943-04-25,2002-05-02,Chennai,Chennai,,
Devita Saraf,Business Executive,Businessperson,University Of Southern California,,India,,,,1981-06-25,,Mumbai,,,
Devika Palshikar,Cricketer,Cricketer,,,India,,,,1979-06-20,,Malvan,,,
Nita Kapoor,Norwegian/Indian Politician,Politician,University Of Oslo,,India,,,,1956-11-24,,,,,
Divya Tewar,Indian Judoka,Judoka,,,India,,,,1984-08-01,,Haryana,,,
Dhansika,Actress,Actor,,,India,,,,1989-11-20,,Thanjavur,,,
Dina Wadia,Daughter Of The Founding Father Of Pakistan (1919-2017),Politician,,,India,Mohammad Ali Jinnah,Rattanbai Jinnah,Neville Wadia,1919-08-14,2017-11-02,London,New York City,,Pneumonia
Dwaram Lakshmi,Indian Singer,Singer,,,India,,,,,,,,,
Firdaus Dadi,Indian Actress,Actor,,,India,,,,1980-07-26,,,,,
G. Kamalamma,Indian Writer,Biographer,,,India,,,,1930-01-01,2012-01-01,Kundara,,,
Gagandeep Kaur,Indian Archer,Archer,,,India,,,,1994-01-01,,Patiala,,,
Gauahar Khan,Indian Actress,Model,,,India,,,,1981-08-23,,Pune,,,
Geeta Kapur,Indian Dancer And Choreographer,Dancer,,,India,,,,1973-07-05,,Mumbai,,,
Giaa Manek,Indian Actress,Actor,,,India,,,,1986-02-18,,Ahmedabad,,,
Gurmeet Kaur,Athletics Competitor,Athletics Competitor,,,India,,,,1970-06-20,,,,,
Gyan Sudha Misra,Indian Judge,Judge,,,India,,,,1949-04-28,,,,,
Gursharan Kaur,Spouse Of Prime Minister Of India,Singer,,,India,,,Manmohan Singh,1937-09-13,,Chakwal,,,
Hira Solanki,Indian Politician,Politician,,,India,,,,,,,,,
Rita Chowdhury,Indian Writer,Novelist,"Cotton College, Guwahati",,India,,,Chandra Mohan Patowary,1960-08-20,,Nampong,,,
Indra Kumari,Member Of Parliament,Politician,Aligarh,,India,,,,1947-01-15,,Aligarh,,,
Isha Talwar,Indian Actress,Actor,"St. Xavier'S College, Mumbai",,India,,,,1987-12-22,,Mumbai,,,
Jaishree Misra,Indian Writer,Writer,Lady Shri Ram College For Women,,India,,,,1961-01-01,,New Delhi,,,
Jayalalitha,Indian Actress,Actor,,,India,,,,1965-07-02,,Hyderabad,,,
Jasmine Simhalan,British Martial Artist,Martial Artist,,,India,,,,1970-11-13,,Chennai,,,
Jaya Re,Indian Film Actress,Actor,,,India,,,,,,,,,
Jaya Thyagarajan,Indian Artist,Painter,Kalakshetra,,India,,,,1954-12-29,,Coimbatore,,,
Jayashree Patanekar,Indian Singer,Singer,,,India,,,,1943-07-13,,,,,
Jayshreeben Patel,Indian Politician,Politician,,,India,,,,1959-06-22,,Mumbai,,,
Jeevitha,Indian Actress(Telugu And Tamil),Actor,,,India,,,Dr. Rajasekhar,1966-05-24,,Tamil Nadu,,,
Jyoti Sunita Kullu,Indian Field Hockey Player,Field Hockey Player,,,India,,,,1978-09-09,,Sundergarh,,,
Jyoti Kirit Parikh,Indian Scientist,Scientist,"University Of California, Berkeley",,India,,,Kirit Parikh,1941-03-22,,Ahmedabad,,,
Joshna Chinappa,Indian Squash Player,Squash Player,,,India,,,,1986-09-15,,Chennai,,,
K. Kavitha,Political Activist,Politician,,,India,K. Chandrashekar Rao,,,1978-03-13,,Medak,,,
K. M. Beenamol,Athletics (Sport) Competitor,Athletics Competitor,,,India,,,,1975-08-15,,Idukki District,,,
Kabita Sinha,Indian Writer,Author,Asutosh College,Bengali,British India,,,Bimal Roy Chowdhury,1931-10-16,1998-10-15,,,,
Kalpana Iyer,Indian Actress,Actor,,,India,,,,1955-04-17,,Amroha,,,
Kamala Das Gupta,Indian Activist,Activist,University Of Calcutta,Bengali,British India,,,,1907-03-11,2000-07-19,,,,
Kamla Devi Patle,Indian Politician,Politician,,,India,,,,1966-05-05,,,,,
Kalpana,Indian Actress,Actor,,,India,,,Anil Kumar,1965-06-05,2016-01-25,Kerala,Hyderabad,Natural Causes,Myocardial Infarction
Kanika Kapoor,Indian Playback Singer,Singer,,,India,,,,1981-08-21,,Lucknow,,,
Kavita Jain,Indian Politician,Politician,,,India,,,,1972-09-02,,Rohtak,,,
Konda Surekha,Indian Politician,Politician,,,India,,,,1965-08-19,,Warangal Urban District,,,
Kothainayaki Ammal,Tamil Indian Writer,Writer,,,India,,,,1901-12-01,1960-02-20,Chengalpattu,Tamil Nadu,,
Kul Sidhu,Actress,Actor,Kendriya Vidyalaya,,India,,,,,,,,,
Radhika Kumaraswamy,Indian Actress And Film Producer,Actor,,,India,,,H. D. Kumaraswamy,1986-11-11,,Mangalore,,,
L. Jaya Sudha,Member Of The Tamil Nadu Legislative Assembly,Politician,,,India,,,,1975-06-19,,,,,
Kunika,Indian Actress,Actor,,,India,,,,1960-01-01,,Mumbai,,,
Lakshmi N. Menon,Indian Politician,Politician,,,India,,,,1899-03-27,1994-11-20,Thiruvananthapuram,,,
Lakshmi Menon,Actress,Actor,,,India,,,,1996-05-19,,Kochi,,,
Lakshmi Parvathi,Indian Politician,Author,,,India,,,N. T. Rama Rao,1955-09-14,,,,,
Lalitha Kumaramangalam,Indian Politician,Politician,,,India,,,,1958-01-01,,,,,
Lalita Lajmi,Famous Indian Printer And Painter,Painter,Sir Jamsetjee Jeejebhoy School Of Art,,India,,,,1932-10-17,,Kolkata,,,
Lata Usendi,Indian Politician,Politician,,,India,,,,,,,,,
Mothey Vedakumari,Indian National Congress Politician,Politician,,,India,,,,1931-09-24,,Eluru,,,
Lissy Samuel,Cricketer,Cricketer,,,India,,,,1967-12-11,,Chennai,,,
Lalitha Lenin,Indian Poet And Academic,Author,,,India,,,,1946-07-17,,Thrissur,,,
Latika Katt,Indian Sculptor,Sculptor,The Doon School,,India,,,,1954-03-12,,Uttar Pradesh,,,
Leela Mishra,Indian Actress,Actor,,,British India,,,,1908-01-01,1988-01-17,Jais,Mumbai,Natural Causes,Myocardial Infarction
Lekha Washington,"Indian Actress, Artist, And Product Designer",Actor,National Institute Of Design,,India,,,,1984-02-15,,Chennai,,,
